result_id,date,experiment_name,status,backbone,model_size,task,dataset,reference_policy,reward_type,target_type,probe_type,feature_type,candidate_or_state_level,layer,timestep,horizon,K,n_documents,n_problems,n_states,n_candidates,n_examples,metric,baseline_value,hidden_value,delta,ci_low,ci_high,p_value,statistical_method,seeds_or_folds,positive_or_negative,headline_candidate,source_path,source_key,notes
REGISTRY_0001,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_cheap,hg,candidate within state,3,,,,,,,,,within_r2,,0.5594392852814021,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 1,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0002,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_hi,hg,candidate within state,3,,,,,,,,,within_r2,,0.08796871510055415,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 2,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0003,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_hg,hg,candidate within state,3,,,,,,,,,within_r2,,0.0,,,,,,,negative_or_zero,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 3,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0004,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_hi_hg,hg,candidate within state,3,,,,,,,,,within_r2,,0.14100705023889737,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 4,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0005,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_cheap+hi,hg,candidate within state,3,,,,,,,,,within_r2,,0.5670779025555397,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 5,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0006,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P0_cheap+H,hg,candidate within state,3,,,,,,,,,within_r2,,0.5795553488494618,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 6,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0007,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P2_bilinear_r2,hg,candidate within state,3,,,,,,,,,within_r2,,0.4654536034398117,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 7,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0008,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P2_bilinear_r4,hg,candidate within state,3,,,,,,,,,within_r2,,0.3938291844263795,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 8,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0009,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P2_bilinear_r8,hg,candidate within state,3,,,,,,,,,within_r2,,0.13087145861575722,,,,,,,positive,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 9,Registry inventory entry; exploratory unless promoted by a curated master-table row.
REGISTRY_0010,2026-08-31,R1_exploratory,R1_exploratory,MDLM_anc,169.6M,OpenWebText continuations,OpenWebText,MDLM_anc,A_pertok,A_pertok,P2_bilinear_r16,hg,candidate within state,3,,,,,,,,,within_r2,,-0.3361764706935455,,,,,,,negative_or_zero,no,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json,registry row 10,Registry inventory entry; exploratory unless promoted by a curated master-table row.
