
Fetching 6 files:   0%|          | 0/6 [00:00<?, ?it/s]
Fetching 6 files: 100%|██████████| 6/6 [00:00<00:00, 62757.67it/s]

[0A] prompts=200 K=8 n_cand=6 record_fracs=(0.1, 0.25, 0.4, 0.55, 0.7, 0.85) horizon=16
  prompts 6/200  examples 216  96s  eta 3089s
  prompts 12/200  examples 432  213s  eta 3330s
  prompts 18/200  examples 648  329s  eta 3323s
  prompts 24/200  examples 864  445s  eta 3262s
  prompts 30/200  examples 1080  560s  eta 3175s
  prompts 36/200  examples 1296  675s  eta 3075s
  prompts 42/200  examples 1512  792s  eta 2979s
  prompts 48/200  examples 1728  909s  eta 2878s
  prompts 54/200  examples 1944  1011s  eta 2734s
  prompts 60/200  examples 2160  1127s  eta 2630s
  prompts 66/200  examples 2376  1246s  eta 2531s
  prompts 72/200  examples 2592  1363s  eta 2424s
  prompts 78/200  examples 2808  1480s  eta 2315s
  prompts 84/200  examples 3024  1595s  eta 2203s
  prompts 90/200  examples 3240  1712s  eta 2093s
  prompts 96/200  examples 3456  1810s  eta 1960s
  prompts 102/200  examples 3672  1925s  eta 1850s
  prompts 108/200  examples 3888  2042s  eta 1739s
  prompts 114/200  examples 4104  2158s  eta 1628s
  prompts 120/200  examples 4320  2267s  eta 1511s
  prompts 126/200  examples 4536  2370s  eta 1392s
  prompts 132/200  examples 4752  2486s  eta 1281s
  prompts 138/200  examples 4968  2602s  eta 1169s
  prompts 144/200  examples 5184  2718s  eta 1057s
  prompts 150/200  examples 5400  2834s  eta 945s
  prompts 156/200  examples 5616  2949s  eta 832s
  prompts 162/200  examples 5832  3064s  eta 719s
  prompts 168/200  examples 6048  3180s  eta 606s
  prompts 174/200  examples 6264  3283s  eta 491s
  prompts 180/200  examples 6480  3337s  eta 371s
  prompts 186/200  examples 6696  3392s  eta 255s
  prompts 192/200  examples 6912  3446s  eta 144s
  prompts 198/200  examples 7128  3499s  eta 35s
  prompts 200/200  examples 7200  3519s  eta 0s
[0A] done: 7200 examples in 3520s -> /home/xqin5/diffusion_LLM/d1_lookahead/data/labels_a

