
Fetching 6 files:   0%|          | 0/6 [00:00<?, ?it/s]
Fetching 6 files: 100%|██████████| 6/6 [00:00<00:00, 111848.11it/s]

[0A] prompts=200 K=8 n_cand=6 record_fracs=(0.1, 0.25, 0.4, 0.55, 0.7, 0.85) horizon=16
  prompts 6/200  examples 216  55s  eta 1765s
  prompts 12/200  examples 432  109s  eta 1703s
  prompts 18/200  examples 648  163s  eta 1647s
  prompts 24/200  examples 864  217s  eta 1592s
  prompts 30/200  examples 1080  271s  eta 1537s
  prompts 36/200  examples 1296  325s  eta 1482s
  prompts 42/200  examples 1512  380s  eta 1428s
  prompts 48/200  examples 1728  434s  eta 1373s
  prompts 54/200  examples 1944  488s  eta 1319s
  prompts 60/200  examples 2160  542s  eta 1265s
  prompts 66/200  examples 2376  598s  eta 1214s
  prompts 72/200  examples 2592  652s  eta 1160s
  prompts 78/200  examples 2808  706s  eta 1105s
  prompts 84/200  examples 3024  761s  eta 1050s
  prompts 90/200  examples 3240  815s  eta 996s
  prompts 96/200  examples 3456  869s  eta 942s
  prompts 102/200  examples 3672  924s  eta 887s
  prompts 108/200  examples 3888  978s  eta 833s
  prompts 114/200  examples 4104  1032s  eta 778s
  prompts 120/200  examples 4320  1086s  eta 724s
  prompts 126/200  examples 4536  1142s  eta 671s
  prompts 132/200  examples 4752  1196s  eta 616s
  prompts 138/200  examples 4968  1250s  eta 562s
  prompts 144/200  examples 5184  1305s  eta 507s
  prompts 150/200  examples 5400  1359s  eta 453s
  prompts 156/200  examples 5616  1413s  eta 398s
  prompts 162/200  examples 5832  1467s  eta 344s
  prompts 168/200  examples 6048  1520s  eta 290s
  prompts 174/200  examples 6264  1574s  eta 235s
  prompts 180/200  examples 6480  1628s  eta 181s
  prompts 186/200  examples 6696  1684s  eta 127s
  prompts 192/200  examples 6912  1737s  eta 72s
  prompts 198/200  examples 7128  1791s  eta 18s
  prompts 200/200  examples 7200  1811s  eta 0s
[0A] done: 7200 examples in 1812s -> /home/xqin5/diffusion_LLM/d1_lookahead/data/labels_a2

