[0A] prompts=200 K=24 n_cand=6 record_fracs=(0.1, 0.2, 0.3, 0.4, 0.5, 0.6) horizon=16
  prompts 6/200  examples 216  188s  eta 6070s
  prompts 12/200  examples 432  375s  eta 5878s
  prompts 18/200  examples 648  563s  eta 5690s
  prompts 24/200  examples 864  750s  eta 5504s
  prompts 30/200  examples 1080  938s  eta 5316s
  prompts 36/200  examples 1296  1126s  eta 5129s
  prompts 42/200  examples 1512  1313s  eta 4941s
  prompts 48/200  examples 1728  1501s  eta 4753s
  prompts 54/200  examples 1944  1688s  eta 4565s
  prompts 60/200  examples 2160  1876s  eta 4377s
  prompts 66/200  examples 2376  2066s  eta 4194s
  prompts 72/200  examples 2592  2253s  eta 4006s
  prompts 78/200  examples 2808  2441s  eta 3818s
  prompts 84/200  examples 3024  2629s  eta 3630s
  prompts 90/200  examples 3240  2816s  eta 3442s
  prompts 96/200  examples 3456  3004s  eta 3255s
  prompts 102/200  examples 3672  3192s  eta 3067s
  prompts 108/200  examples 3888  3380s  eta 2879s
  prompts 114/200  examples 4104  3567s  eta 2691s
  prompts 120/200  examples 4320  3755s  eta 2503s
  prompts 126/200  examples 4536  3945s  eta 2317s
  prompts 132/200  examples 4752  4133s  eta 2129s
  prompts 138/200  examples 4968  4320s  eta 1941s
  prompts 144/200  examples 5184  4508s  eta 1753s
  prompts 150/200  examples 5400  4696s  eta 1565s
  prompts 156/200  examples 5616  4883s  eta 1377s
  prompts 162/200  examples 5832  5071s  eta 1189s
  prompts 168/200  examples 6048  5258s  eta 1002s
  prompts 174/200  examples 6264  5446s  eta 814s
  prompts 180/200  examples 6480  5634s  eta 626s
  prompts 186/200  examples 6696  5825s  eta 438s
  prompts 192/200  examples 6912  6012s  eta 251s
  prompts 198/200  examples 7128  6200s  eta 63s
  prompts 200/200  examples 7200  6265s  eta 0s
[0A] done: 7200 examples in 6266s -> /home/xqin5/diffusion_LLM/d1_lookahead/data/labels_s2

