[ERROR] `cache_position` is part of Ministral3Model.forward's signature, but not documented. Make sure to add it to the docstring of the function in /home/xqin5/.cache/huggingface/modules/transformers_modules/nvidia/Nemotron_hyphen_Labs_hyphen_Diffusion_hyphen_3B/0d51902da1f8869f83413ce642fab402fa5641e0/modeling_ministral.py.
[task] screening 220 prompts with K=8
  screened 20/220  mixed 4 (20%)  172s
  screened 40/220  mixed 9 (22%)  322s
  screened 60/220  mixed 18 (30%)  477s
  screened 80/220  mixed 27 (34%)  648s
  screened 100/220  mixed 38 (38%)  806s
  screened 120/220  mixed 47 (39%)  984s
  screened 140/220  mixed 54 (39%)  1126s
  screened 160/220  mixed 62 (39%)  1313s
  screened 180/220  mixed 70 (39%)  1465s
  screened 200/220  mixed 79 (40%)  1650s
  screened 220/220  mixed 81 (37%)  1815s
[task] screened: 81/220 mixed (37%); selected 81 mixed (oversampled) + 69 natural
  1/150 prompts, 8 examples, 25s, eta 3703s
  2/150 prompts, 16 examples, 83s, eta 6162s
  3/150 prompts, 20 examples, 124s, eta 6086s
  4/150 prompts, 20 examples, 125s, eta 4547s
  5/150 prompts, 24 examples, 130s, eta 3758s
  6/150 prompts, 28 examples, 134s, eta 3216s
  7/150 prompts, 40 examples, 220s, eta 4498s
  8/150 prompts, 44 examples, 227s, eta 4028s
  9/150 prompts, 56 examples, 290s, eta 4539s
  10/150 prompts, 64 examples, 344s, eta 4823s
  11/150 prompts, 72 examples, 380s, eta 4807s
  12/150 prompts, 80 examples, 433s, eta 4978s
  13/150 prompts, 84 examples, 464s, eta 4894s
  14/150 prompts, 92 examples, 482s, eta 4682s
  15/150 prompts, 104 examples, 560s, eta 5044s
  16/150 prompts, 116 examples, 700s, eta 5863s
  17/150 prompts, 120 examples, 709s, eta 5549s
  18/150 prompts, 128 examples, 749s, eta 5491s
  19/150 prompts, 132 examples, 787s, eta 5425s
  20/150 prompts, 140 examples, 848s, eta 5513s
  21/150 prompts, 152 examples, 902s, eta 5544s
  22/150 prompts, 160 examples, 944s, eta 5493s
  23/150 prompts, 160 examples, 947s, eta 5228s
  24/150 prompts, 168 examples, 1008s, eta 5292s
  25/150 prompts, 172 examples, 1019s, eta 5095s
  26/150 prompts, 176 examples, 1035s, eta 4936s
  27/150 prompts, 188 examples, 1163s, eta 5298s
  28/150 prompts, 204 examples, 1243s, eta 5417s
  29/150 prompts, 220 examples, 1320s, eta 5507s
  30/150 prompts, 228 examples, 1409s, eta 5635s
  31/150 prompts, 232 examples, 1426s, eta 5473s
  32/150 prompts, 240 examples, 1476s, eta 5442s
  33/150 prompts, 248 examples, 1518s, eta 5381s
  34/150 prompts, 252 examples, 1544s, eta 5269s
  35/150 prompts, 268 examples, 1705s, eta 5602s
  36/150 prompts, 276 examples, 1781s, eta 5639s
  37/150 prompts, 280 examples, 1799s, eta 5493s
  38/150 prompts, 296 examples, 1937s, eta 5709s
  39/150 prompts, 304 examples, 1958s, eta 5572s
  40/150 prompts, 308 examples, 1963s, eta 5397s
  41/150 prompts, 312 examples, 1972s, eta 5243s
  42/150 prompts, 324 examples, 2029s, eta 5217s
  43/150 prompts, 332 examples, 2100s, eta 5225s
  44/150 prompts, 332 examples, 2101s, eta 5063s
  45/150 prompts, 336 examples, 2128s, eta 4965s
  46/150 prompts, 340 examples, 2134s, eta 4824s
  47/150 prompts, 344 examples, 2141s, eta 4693s
  48/150 prompts, 352 examples, 2219s, eta 4715s
  49/150 prompts, 364 examples, 2286s, eta 4712s
  50/150 prompts, 372 examples, 2303s, eta 4606s
  51/150 prompts, 380 examples, 2384s, eta 4627s
  52/150 prompts, 388 examples, 2450s, eta 4618s
  53/150 prompts, 396 examples, 2497s, eta 4570s
  54/150 prompts, 404 examples, 2558s, eta 4547s
  55/150 prompts, 420 examples, 2688s, eta 4643s
  56/150 prompts, 432 examples, 2747s, eta 4611s
  57/150 prompts, 440 examples, 2786s, eta 4545s
  58/150 prompts, 444 examples, 2807s, eta 4453s
  59/150 prompts, 448 examples, 2837s, eta 4376s
  60/150 prompts, 456 examples, 2849s, eta 4273s
  61/150 prompts, 468 examples, 2904s, eta 4237s
  62/150 prompts, 476 examples, 2961s, eta 4203s
  63/150 prompts, 484 examples, 2991s, eta 4131s
