tag,batch,path,bytes,sha256,n_docs,n_states,n_rows,doc_id_min,doc_id_max,A_task_mean,A_task_std,A_task_sem_mean,A_task_sem_std,Q_reward_mean,Q_reward_std,V_reward_mean,V_reward_std,A_pertok_mean,A_pertok_std,A_sem_mean,A_sem_std,V_pertok_mean,V_pertok_std,logp_action_mean,logp_action_std,mask_ratio_mean,mask_ratio_std
taskC,shard_000,data/labels_taskC/shard_000.npz,51077195,6b0596a585c31a609cd365766fb89e2c7593589b3d621289b0ca63faa2476ac3,17,68,408,467,674,-0.04871323529411765,0.3410397145255234,0.03464747598269501,0.06673142719243323,0.6498161764705882,0.45251370690223325,0.6985294117647058,0.42293795507240833,-0.0096721525832476,0.024291621477372793,0.0017189750705874267,0.0022175576689317353,-0.08481997960959287,0.041379431147337435,-1.0648410133287018,0.8366305279249742,0.338404603959883,0.1430054522603583
taskC,shard_001,data/labels_taskC/shard_001.npz,51071334,d57fdef72bcbb2532f185740fd9388d4cceb3f05f9645bb81e37c9bfe99df544,17,68,408,455,699,-0.0428921568627451,0.28893774032068303,0.036530156000991965,0.06964512495391924,0.6188725490196079,0.43876827757177983,0.6617647058823529,0.4282417581929717,-0.011909155283864594,0.024082298573800655,0.0022299936685249966,0.0032083237710624404,-0.08559605401209784,0.0425117367738798,-1.030959638894773,0.8703387187127679,0.34377235437140746,0.1470254065123719
taskC,shard_002,data/labels_taskC/shard_002.npz,51071173,eeda31ca52f6e3b9d11cc06358af2cc9639e8486684cc5f82b4a11238bf0b614,17,68,408,442,672,0.05238970588235294,0.3255445853502925,0.03322109189862761,0.0692734989422107,0.4255514705882353,0.4624483302327864,0.37316176470588236,0.4463354914086527,-0.017219306887549895,0.025690438151285026,0.002779236233754892,0.004123539066061781,-0.08220534244045506,0.05185733786702492,-1.2580614791196936,0.9053705846013421,0.35225764453849373,0.1517749386901619
taskC,shard_003,data/labels_taskC/shard_003.npz,51058703,2ea598d6cbb9f92072c8e9b8859cc105fa5f278a490b7ca9b35bd0892f2183a5,17,68,408,472,661,0.003982843137254902,0.18509339772696554,0.010713964133897623,0.03920140887757388,0.6933210784313726,0.44912407926463654,0.6893382352941176,0.4550031548143413,-0.009168408440773943,0.02137063264427775,0.001978729818080063,0.0036001043486469375,-0.05778883128015663,0.053869067769555766,-0.8586341960757387,0.951572135724226,0.34097278753624244,0.1481700886991915
taskC,shard_w0_004,data/labels_taskC/shard_w0_004.npz,51057287,7ef0610c690b39c62e14a69d983f48503e9b71b5f11a33e9d3a23ace87f1f554,17,68,408,446,694,-0.02297794117647059,0.20684640034803056,0.01094015330556763,0.039382747938863566,0.7159926470588235,0.44214972559970567,0.7389705882352942,0.42753100921550763,-0.0052243493567861975,0.018293950735464345,0.0016604085248861924,0.0034334285878818748,-0.05660411057803739,0.06492494291834004,-0.7497227752909941,0.8955863812603789,0.35380645633182106,0.15607532837432414
taskC,shard_w0_005,data/labels_taskC/shard_w0_005.npz,51048954,4e43e42361c10c0d545238b373399e23d97d3387135c375dd6b286e46754d447,17,68,408,484,688,-0.01685049019607843,0.1762979032377703,0.012135945680064878,0.04047587340207449,0.6761642156862745,0.4577192552871895,0.6930147058823529,0.4534557988916261,-0.006339183073654954,0.01719038274349825,0.0018209967942442369,0.003708525977091259,-0.06651766942612834,0.06477921713843957,-0.7663265116074506,0.8613204051697058,0.34856940586777296,0.15226780208717886
taskC,shard_w0_006,data/labels_taskC/shard_w0_006.npz,51033887,04d0665291f28cf4677538d28968b854e49f8cdc3547f4d8951bcee7b9ca1d37,17,68,408,444,698,-0.034926470588235295,0.17937321287022318,0.01073260267376695,0.036080247152360787,0.7261029411764706,0.43464968900047796,0.7610294117647058,0.4155387704212249,-0.007006731606050571,0.015529774076909454,0.0008924800151022041,0.0017028952201811867,-0.04308890598194386,0.037791133993971486,-0.6776570175208297,0.8195949515427022,0.3492061512216049,0.15472542751509524
taskC,shard_w0_007,data/labels_taskC/shard_w0_007.npz,15022075,c6692088578e0f96ab87510750e87c980b41956a29d986bcbdf09f994cbcf805,5,20,120,505,686,-0.0020833333333333333,0.02272648357215774,0.0012757758848016506,0.013917071850095858,0.5979166666666667,0.4887226477143134,0.6,0.4898979485566357,-0.0014194390100241113,0.019348651564465847,0.0016740329334649362,0.0027172387558483495,-0.05755557839947869,0.0650597574761771,-0.7336372057596843,0.8616857393800446,0.33819144368171694,0.15017247509310874
taskC,shard_w1_004,data/labels_taskC/shard_w1_004.npz,51066448,fd3ff32daae8bda69be64f276d614a160447b12ea9cf5e5bf4c5bde3681f0ec5,17,68,408,492,692,0.0012254901960784314,0.21472672586622818,0.01497758958524447,0.043601964481923085,0.41482843137254904,0.4788166786366957,0.41360294117647056,0.48138956768266433,-0.009233354490169066,0.026275854226456348,0.001825392376784478,0.0028009298239644958,-0.06619050207903937,0.035996325310459515,-1.0397703156751745,0.9029417911839682,0.34001897626063404,0.1471288364919144
taskC,shard_w1_005,data/labels_taskC/shard_w1_005.npz,51052460,d1cb02cb86d05037c4819305e948ea879af8dbc8814ce1470037d2b5d9854d51,17,68,408,440,673,0.03952205882352941,0.23517740384253372,0.018376483703746033,0.0562285845064549,0.7582720588235294,0.41481881469288756,0.71875,0.43321165099616554,-0.007175308915447067,0.015863524121243863,0.0010882936094294422,0.0020775030931917977,-0.043849485910280185,0.03608599769032631,-0.7061236442304125,0.879593251134992,0.3464999970267801,0.15132808754044588
taskC,shard_w1_006,data/labels_taskC/shard_w1_006.npz,51051681,77c1712a8929c78b8c02cce61aa4ce721a704abac00aed7f71dba70d81af41de,17,68,408,445,691,-0.011642156862745098,0.10025640846591903,0.007072067401853736,0.02996374302054459,0.7512254901960784,0.42407450341689856,0.7628676470588235,0.42342903094545237,-0.00935976316077359,0.018588169108034153,0.001183682342294002,0.0021226821831774245,-0.053744971728198886,0.03831893650980663,-0.8117415624506333,0.8618250871489512,0.34433185166734104,0.14801629543564104
