tag,group,value,n_rows,n_docs,n_states,A_task_mean,A_task_std,A_task_nonzero_frac,A_task_positive_frac,A_task_negative_frac,Q_reward_mean,V_reward_mean,A_pertok_mean,mask_ratio_mean
taskC,prompt_stratum,0,2592,108,432,-0.007908950617283951,0.18411985800354203,0.0933641975308642,0.03819444444444445,0.055169753086419755,0.665991512345679,0.6739004629629629,-0.00710883757607492,0.3468856794104256
taskC,prompt_stratum,1,1728,72,288,-0.00535300925925926,0.29198938957640846,0.22395833333333334,0.1111111111111111,0.11284722222222222,0.5905671296296297,0.5959201388888888,-0.012205713520331112,0.3443966877077603
taskC,step,24,708,118,118,0.004590395480225989,0.2617745051493198,0.2556497175141243,0.12570621468926554,0.12994350282485875,0.594632768361582,0.590042372881356,-0.008291054342608292,0.5473782900026289
taskC,step,25,150,25,25,0.005,0.29926298356685105,0.18,0.1,0.08,0.605,0.6,-0.010174651412032745,0.5482032072544097
taskC,step,26,42,7,7,0.026785714285714284,0.26097304510640335,0.23809523809523808,0.11904761904761904,0.11904761904761904,0.5803571428571429,0.5535714285714286,-0.006805393074284352,0.5388102105685643
taskC,step,27,30,5,5,0.0125,0.12226167292601012,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.6625,0.65,-0.008013235680239934,0.5514112710952759
taskC,step,28,42,7,7,0.050595238095238096,0.2988812520625325,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.7291666666666666,0.6785714285714286,-0.006098429425477326,0.5037406470094409
taskC,step,29,42,7,7,-0.13690476190476192,0.3448273418561961,0.2619047619047619,0.09523809523809523,0.16666666666666666,0.8452380952380952,0.9821428571428571,-0.011101818279365986,0.5367489286831447
taskC,step,30,36,6,6,-0.1111111111111111,0.4590692744732892,0.5277777777777778,0.1111111111111111,0.4166666666666667,0.5138888888888888,0.625,-0.0013906601642601243,0.5458651681741079
taskC,step,31,18,3,3,-0.006944444444444444,0.0286326779556782,0.05555555555555555,0.0,0.05555555555555555,0.6597222222222222,0.6666666666666666,-0.00612160748110302,0.5169975459575653
taskC,step,32,12,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0012806221263114519,0.5314444899559021
taskC,step,56,438,73,73,0.019406392694063926,0.291958610557675,0.24429223744292236,0.13013698630136986,0.1141552511415525,0.5108447488584474,0.4914383561643836,-0.014081451779578997,0.41595022523239866
taskC,step,57,180,30,30,-0.0125,0.2510740815863805,0.15,0.06666666666666667,0.08333333333333333,0.7416666666666667,0.7541666666666667,-0.007092740574939348,0.414400507013003
taskC,step,58,114,19,19,-0.039473684210526314,0.1682890793241199,0.09649122807017543,0.0,0.09649122807017543,0.6973684210526315,0.7368421052631579,-0.007620524846507786,0.4210425630996102
taskC,step,59,90,15,15,-0.043055555555555555,0.21743542393144438,0.2222222222222222,0.1,0.12222222222222222,0.7486111111111111,0.7916666666666666,-0.007438807528135132,0.4047602574030558
taskC,step,60,60,10,10,0.004166666666666667,0.14062114192238503,0.18333333333333332,0.13333333333333333,0.05,0.6416666666666667,0.6375,-0.007598972173582297,0.3962248176336288
taskC,step,61,54,9,9,0.037037037037037035,0.28119045627889294,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.7314814814814815,0.6944444444444444,-0.009941341164531221,0.3917218479845259
taskC,step,62,30,5,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.010964825843863461,0.3977787017822266
taskC,step,63,42,7,7,-0.09226190476190477,0.258860144215054,0.14285714285714285,0.0,0.14285714285714285,0.7648809523809523,0.8571428571428571,-0.007882293365019862,0.3925103076866695
taskC,step,64,72,12,12,-0.026041666666666668,0.12489144591960209,0.041666666666666664,0.0,0.041666666666666664,0.640625,0.6666666666666666,-0.001529842877308359,0.4094548597931862
taskC,step,88,444,74,74,-0.007882882882882882,0.21587429561855231,0.09234234234234234,0.03153153153153153,0.060810810810810814,0.6019144144144144,0.6097972972972973,-0.0114526674334189,0.28690681022566716
taskC,step,89,138,23,23,-0.022644927536231884,0.18444707032000382,0.10144927536231885,0.036231884057971016,0.06521739130434782,0.7436594202898551,0.7663043478260869,-0.005064665878772639,0.2852221183154894
taskC,step,90,72,12,12,-0.008680555555555556,0.3161772457546949,0.1527777777777778,0.05555555555555555,0.09722222222222222,0.4913194444444444,0.5,-0.018968497963416868,0.2792656247814496
taskC,step,91,60,10,10,-0.1,0.30000000000000004,0.1,0.0,0.1,0.6,0.7,-0.0075221474915320085,0.2728281572461128
taskC,step,92,66,11,11,0.0,0.11306675421666136,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.6931818181818182,0.6931818181818182,-0.002926822101609573,0.2757401303811507
taskC,step,93,48,8,8,-0.020833333333333332,0.1428261375083551,0.020833333333333332,0.0,0.020833333333333332,0.9791666666666666,1.0,-0.00476921744294619,0.2818158455193043
taskC,step,94,54,9,9,-0.125,0.393817968854384,0.25925925925925924,0.07407407407407407,0.18518518518518517,0.3888888888888889,0.5138888888888888,-0.017654078606197058,0.2633914318349626
taskC,step,95,36,6,6,0.059027777777777776,0.17301982643473598,0.19444444444444445,0.19444444444444445,0.0,0.5381944444444444,0.4791666666666667,0.0015537141407548916,0.2538204366962115
taskC,step,96,162,27,27,-0.004629629629629629,0.12019217579395527,0.04938271604938271,0.037037037037037035,0.012345679012345678,0.6944444444444444,0.6990740740740741,-0.004985322960742956,0.2701140189612353
taskC,step,120,420,70,70,-0.008630952380952382,0.2313744532427439,0.08333333333333333,0.03333333333333333,0.05,0.5913690476190476,0.6,-0.01239297723598048,0.16018542370625904
taskC,step,121,126,21,21,0.011904761904761904,0.09373818897633109,0.11904761904761904,0.05555555555555555,0.06349206349206349,0.6011904761904762,0.5892857142857143,-0.012150978967149116,0.1498078221366519
taskC,step,122,72,12,12,-0.008680555555555556,0.15635605968331176,0.06944444444444445,0.027777777777777776,0.041666666666666664,0.6163194444444444,0.625,-0.016489706813575398,0.15290637935201326
taskC,step,123,30,5,5,-0.03333333333333333,0.1795054935711501,0.03333333333333333,0.0,0.03333333333333333,0.36666666666666664,0.4,-0.015212173157973059,0.150158029794693
taskC,step,124,36,6,6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,-0.002809015212025972,0.1539712275067965
taskC,step,125,42,7,7,0.023809523809523808,0.1524553389864964,0.023809523809523808,0.023809523809523808,0.0,0.5952380952380952,0.5714285714285714,-0.012809607473602654,0.13455636373588017
